Source,Target,Type,Id,Label,timeset,Weight
升仙湖,火车北站,Undirected,0,1.9,,1.9
火车北站,人民北路,Undirected,1,1.1,,1.1
火车北站,北站西二路,Undirected,2,0.738,,0.738
火车北站,驷马桥,Undirected,3,1.965,,1.965
人民北路,文殊院,Undirected,4,1.7,,1.7
文殊院,骡马市,Undirected,5,0.8,,0.8
骡马市,天府广场,Undirected,6,0.9,,0.9
骡马市,宽窄巷子,Undirected,7,1.5,,1.5
骡马市,太升南路,Undirected,8,1,,1
天府广场,锦江宾馆,Undirected,9,0.9,,0.9
天府广场,人民公园,Undirected,10,0.9,,0.9
天府广场,春熙路,Undirected,11,1.3,,1.3
锦江宾馆,华西坝,Undirected,12,0.8,,0.8
华西坝,省体育馆,Undirected,13,1.1,,1.1
省体育馆,倪家桥,Undirected,14,0.9,,0.9
省体育馆,磨子桥,Undirected,15,1.1,,1.1
省体育馆,衣冠庙,Undirected,16,1.2,,1.2
倪家桥,桐梓林,Undirected,17,1.1,,1.1
桐梓林,火车南站,Undirected,18,1.2,,1.2
火车南站,高新,Undirected,19,1.4,,1.4
火车南站,三瓦窑,Undirected,20,1.018,,1.018
火车南站,神仙树,Undirected,21,1.944,,1.944
高新,金融城,Undirected,22,1.3,,1.3
金融城,孵化园,Undirected,23,0.7,,0.7
孵化园,锦城广场,Undirected,24,1,,1
锦城广场,世纪城,Undirected,25,1.5,,1.5
世纪城,天府三街,Undirected,26,1,,1
天府三街,天府五街,Undirected,27,1,,1
天府五街,华府大道,Undirected,28,1.3,,1.3
华府大道,四河,Undirected,29,1.1,,1.1
四河,广都,Undirected,30,1.1,,1.1
犀浦,天河路,Undirected,31,1.8,,1.8
天河路,百草路,Undirected,32,1.7,,1.7
百草路,金周路,Undirected,33,2.3,,2.3
金周路,金科北路,Undirected,34,1.1,,1.1
金科北路,迎宾大道,Undirected,35,1.1,,1.1
迎宾大道,茶店子客运站,Undirected,36,1,,1
茶店子客运站,羊犀立交,Undirected,37,1.4,,1.4
羊犀立交,一品天下,Undirected,38,0.9,,0.9
一品天下,蜀汉路东,Undirected,39,1.2,,1.2
一品天下,金沙博物馆,Undirected,40,1.543,,1.543
一品天下,茶店子,Undirected,41,1.225,,1.225
蜀汉路东,白果林,Undirected,42,1.1,,1.1
白果林,中医大省医院,Undirected,43,1.2,,1.2
中医大省医院,通惠门,Undirected,44,0.9,,0.9
中医大省医院,草堂北路,Undirected,45,1.2,,1.2
中医大省医院,宽窄巷子,Undirected,46,1,,1
通惠门,人民公园,Undirected,47,0.8,,0.8
春熙路,东门大桥,Undirected,48,1,,1
春熙路,市二医院,Undirected,49,1,,1
春熙路,新南门,Undirected,50,1.1,,1.1
东门大桥,牛王庙,Undirected,51,0.8,,0.8
牛王庙,牛市口,Undirected,52,1.6,,1.6
牛市口,东大路,Undirected,53,0.8,,0.8
东大路,塔子山公园,Undirected,54,1.1,,1.1
塔子山公园,成都东客站,Undirected,55,1.4,,1.4
成都东客站,成渝立交,Undirected,56,0.9,,0.9
成都东客站,迎晖路,Undirected,57,1.09,,1.09
成都东客站,大观,Undirected,58,1.237,,1.237
成渝立交,惠王陵,Undirected,59,1.4,,1.4
惠王陵,洪河,Undirected,60,1,,1
洪河,成都行政学院,Undirected,61,1.7,,1.7
成都行政学院,大面铺,Undirected,62,3,,3
大面铺,连山坡,Undirected,63,1.2,,1.2
连山坡,界牌,Undirected,64,1.3,,1.3
界牌,书房,Undirected,65,1.9,,1.9
书房,龙平路,Undirected,66,2,,2
龙平路,龙泉驿,Undirected,67,1.8,,1.8
军区总医院,熊猫大道,Undirected,68,2.2,,2.2
熊猫大道,动物园,Undirected,69,1.4,,1.4
动物园,昭觉寺南路,Undirected,70,1.4,,1.4
昭觉寺南路,驷马桥,Undirected,71,1,,1
驷马桥,李家沱,Undirected,72,0.7,,0.7
驷马桥,府青路,Undirected,73,1.285,,1.285
李家沱,前锋路,Undirected,74,1.2,,1.2
前锋路,红星桥,Undirected,75,0.9,,0.9
红星桥,市二医院,Undirected,76,1.4,,1.4
市二医院,太升南路,Undirected,77,1.1,,1.1
市二医院,玉双路,Undirected,78,1.7,,1.7
新南门,磨子桥,Undirected,79,0.7,,0.7
衣冠庙,高升桥,Undirected,80,1.2,,1.2
高升桥,红牌楼,Undirected,81,1.7,,1.7
红牌楼,太平园,Undirected,82,1.4,,1.4
太平园,簇锦,Undirected,83,2.1,,2.1
太平园,高朋大道,Undirected,84,1.443,,1.443
太平园,武侯大道,Undirected,85,1.467,,1.467
万盛,杨柳河,Undirected,86,1.5,,1.5
杨柳河,凤溪河,Undirected,87,1.4,,1.4
凤溪河,南熏大道,Undirected,88,1.2,,1.2
南熏大道,光华公园,Undirected,89,1.1,,1.1
光华公园,涌泉,Undirected,90,1.5,,1.5
涌泉,凤凰大街,Undirected,91,1.6,,1.6
凤凰大街,马厂坝,Undirected,92,2.3,,2.3
马厂坝,非遗博览园,Undirected,93,1,,1
非遗博览园,蔡桥,Undirected,94,2.2,,2.2
蔡桥,中坝,Undirected,95,2,,2
中坝,成都西站,Undirected,96,1.9,,1.9
成都西站,清江西路,Undirected,97,2.5,,2.5
清江西路,文化宫,Undirected,98,1.2,,1.2
文化宫,西南财大,Undirected,99,1,,1
文化宫,东坡路,Undirected,100,1.184,,1.184
文化宫,金沙博物馆,Undirected,101,0.759,,0.759
西南财大,草堂北路,Undirected,102,0.8,,0.8
玉双路,双桥路,Undirected,103,1.6,,1.6
双桥路,万年场,Undirected,104,0.7,,0.7
万年场,槐树店,Undirected,105,2.2,,2.2
槐树店,来龙,Undirected,106,2.4,,2.4
槐树店,双店路,Undirected,107,0.855,,0.855
槐树店,迎晖路,Undirected,108,1.523,,1.523
来龙,十陵,Undirected,109,0.8,,0.8
十陵,成都大学,Undirected,110,0.9,,0.9
成都大学,明蜀王陵,Undirected,111,1.5,,1.5
明蜀王陵,西河,Undirected,112,2.3,,2.3
簇锦,华兴,Undirected,113,1.6,,1.6
华兴,金花,Undirected,114,3.4,,3.4
金花,双流机场1航站楼,Undirected,115,2,,2
双流机场1航站楼,双流机场2航站楼,Undirected,116,1,,1
崔家店,双店路,Undirected,117,1.012,,1.012
崔家店,理工大学,Undirected,118,0.931,,0.931
大观,狮子山,Undirected,119,1.125,,1.125
狮子山,四川师大,Undirected,120,1.144,,1.144
四川师大,琉璃场,Undirected,121,1.553,,1.553
琉璃场,三瓦窑,Undirected,122,2.419,,2.419
神仙树,高朋大道,Undirected,123,1.784,,1.784
武侯大道,龙爪堰,Undirected,124,1.672,,1.672
龙爪堰,东坡路,Undirected,125,1.061,,1.061
茶店子,花照壁,Undirected,126,1.106,,1.106
花照壁,西南交大,Undirected,127,0.853,,0.853
西南交大,九里堤,Undirected,128,0.768,,0.768
九里堤,北站西二路,Undirected,129,0.879,,0.879
府青路,八里庄,Undirected,130,1.308,,1.308
八里庄,二仙桥,Undirected,131,1.05,,1.05
二仙桥,理工大学,Undirected,132,1.188,,1.188
