attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09444426485627172
0.02,0.00,0.08658265411726364
0.04,0.00,0.07932388927421698
0.06,0.00,0.07389911183971118
0.08,0.00,0.0396136919718314
0.10,0.00,0.036128154089953714
0.12,0.00,0.03437351948632761
0.14,0.00,0.029602821636987922
0.16,0.00,0.028115226081122994
0.18,0.00,0.027257114282571833
0.20,0.00,0.020748096378348423
0.22,0.00,0.02078406299082864
0.24,0.00,0.021062290759489274
0.26,0.00,0.02056389586861583
0.28,0.00,0.021039900484436717
0.30,0.00,0.01986368079284853
0.32,0.00,0.0202380071137785
0.34,0.00,0.02049024196600821
0.36,0.00,0.020763328964276653
0.38,0.00,0.018830112194971115
0.40,0.00,0.019007704927609812
0.42,0.00,0.019036059191412148
0.44,0.00,0.018348732299008564
0.46,0.00,0.017362661869155336
0.48,0.00,0.015544955654845729
