date,nb
1993-05-28,0
1995-04-10,0
1996-12-28,0
1999-09-20,4
2000-12-26,3
2003-11-25,3
2004-12-28,4
2005-12-31,4
2006-12-18,4
2006-12-30,5
2007-12-29,10
2008-12-28,10
2009-07-05,9
2009-12-05,11
2009-12-31,12
2010-02-24,12
2010-03-16,12
2010-03-29,12
2010-04-07,13
2010-04-08,13
2010-04-10,14
2010-04-20,15
2010-12-28,15
2011-04-12,15
2011-04-26,15
2011-06-30,15
2012-12-30,16
2013-08-31,17
2013-10-16,17
2013-12-29,18
2014-05-10,18
2014-12-28,18
2015-12-19,20
2016-04-26,20
2017-12-30,19
