date,average_degree
1993-05-28,1.5
1995-04-10,1.8461538461538463
1996-12-28,1.875
1999-09-20,2.1481481481481484
2000-12-26,2.3181818181818183
2003-11-25,2.259259259259259
2004-12-28,2.2222222222222223
2005-12-31,2.2222222222222223
2006-12-18,2.191780821917808
2006-12-30,2.1818181818181817
2007-12-29,2.1621621621621623
2008-12-28,2.1621621621621623
2009-07-05,2.1656050955414012
2009-12-05,2.225988700564972
2009-12-31,2.263959390862944
2010-02-24,2.2613065326633164
2010-03-16,2.257425742574257
2010-03-29,2.2561576354679804
2010-04-07,2.2549019607843137
2010-04-08,2.2452830188679247
2010-04-10,2.3063829787234043
2010-04-20,2.3037974683544302
2010-12-28,2.301255230125523
2011-04-12,2.301255230125523
2011-04-26,2.2975206611570247
2011-06-30,2.292682926829268
2012-12-30,2.2823529411764705
2013-08-31,2.2943396226415094
2013-10-16,2.291044776119403
2013-12-29,2.282758620689655
2014-05-10,2.282758620689655
2014-12-28,2.2945205479452055
2015-12-19,2.3026315789473686
2016-04-26,2.301639344262295
2017-12-30,2.289230769230769
