date,average_shortest_path_length
1993-05-28,1.6666666666666667
1995-04-10,4.666666666666667
1996-12-28,5.666666666666667
1999-09-20,6.415954415954416
2000-12-26,7.248414376321353
2003-11-25,9.95946890286513
2004-12-28,10.607782898105478
2005-12-31,10.607782898105478
2006-12-18,12.369482496194825
2006-12-30,12.255297334244702
2007-12-29,14.220261077403935
2008-12-28,14.220261077403935
2009-07-05,14.393107953617507
2009-12-05,13.997817154596815
2009-12-31,14.111416140060085
2010-02-24,14.136185980407086
2010-03-16,14.18407960199005
2010-03-29,14.28044676388821
2010-04-07,14.253404810199942
2010-04-08,14.6818832155951
2010-04-10,14.343007819603564
2010-04-20,14.289244082099692
2010-12-28,14.386660103371893
2011-04-12,14.386660103371893
2011-04-26,14.671787661602826
2011-06-30,14.939903766384603
2012-12-30,15.09970665431527
2013-08-31,14.848370497427101
2013-10-16,15.155402761473532
2013-12-29,15.663047369049039
2014-05-10,15.663047369049039
2014-12-28,15.277950383655792
2015-12-19,15.190376932430086
2016-04-26,15.201811906816221
2017-12-30,15.712022792022792
