date,b,average_degree,f
1993-05-28,1.0,0,0
1995-04-10,1.0,0,0
1996-12-28,1.0,0,0
1999-09-20,0.7037037037037037,2.5,0.625
2000-12-26,0.4090909090909091,2.5384615384615383,0.5384615384615384
2003-11-25,0.5185185185185185,2.5384615384615383,0.5384615384615384
2004-12-28,0.5873015873015873,2.5384615384615383,0.5384615384615384
2005-12-31,0.5873015873015873,2.5384615384615383,0.5384615384615384
2006-12-18,0.6438356164383562,2.5384615384615383,0.5384615384615384
2006-12-30,0.6623376623376623,2.5384615384615383,0.5384615384615384
2007-12-29,0.6418918918918919,2.452830188679245,0.6792452830188679
2008-12-28,0.6418918918918919,2.452830188679245,0.6792452830188679
2009-07-05,0.5796178343949044,2.393939393939394,0.7272727272727273
2009-12-05,0.5536723163841808,2.5063291139240507,0.6835443037974683
2009-12-31,0.5685279187817259,2.611764705882353,0.6352941176470588
2010-02-24,0.5728643216080402,2.611764705882353,0.6352941176470588
2010-03-16,0.5792079207920792,2.611764705882353,0.6352941176470588
2010-03-29,0.5812807881773399,2.611764705882353,0.6352941176470588
2010-04-07,0.5833333333333334,2.611764705882353,0.6352941176470588
2010-04-08,0.5990566037735849,2.611764705882353,0.6352941176470588
2010-04-10,0.5531914893617021,2.6857142857142855,0.6190476190476191
2010-04-20,0.5569620253164557,2.6857142857142855,0.6190476190476191
2010-12-28,0.5606694560669456,2.6857142857142855,0.6190476190476191
2011-04-12,0.5606694560669456,2.6857142857142855,0.6190476190476191
2011-04-26,0.5661157024793388,2.6857142857142855,0.6190476190476191
2011-06-30,0.573170731707317,2.6857142857142855,0.6190476190476191
2012-12-30,0.5882352941176471,2.6857142857142855,0.6190476190476191
2013-08-31,0.5886792452830188,2.7155963302752295,0.6146788990825688
2013-10-16,0.5932835820895522,2.7155963302752295,0.6146788990825688
2013-12-29,0.5655172413793104,2.6507936507936507,0.6587301587301587
2014-05-10,0.5655172413793104,2.6507936507936507,0.6587301587301587
2014-12-28,0.541095890410959,2.6417910447761193,0.664179104477612
2015-12-19,0.5493421052631579,2.6715328467153285,0.6715328467153284
2016-04-26,0.5508196721311476,2.6715328467153285,0.6715328467153284
2017-12-30,0.5476923076923077,2.639455782312925,0.6870748299319728
