date,size
1993-05-28,4
1995-04-10,13
1996-12-28,16
1999-09-20,27
2000-12-26,44
2003-11-25,54
2004-12-28,63
2005-12-31,63
2006-12-18,73
2006-12-30,77
2007-12-29,148
2008-12-28,148
2009-07-05,157
2009-12-05,177
2009-12-31,197
2010-02-24,199
2010-03-16,202
2010-03-29,203
2010-04-07,204
2010-04-08,212
2010-04-10,235
2010-04-20,237
2010-12-28,239
2011-04-12,239
2011-04-26,242
2011-06-30,246
2012-12-30,255
2013-08-31,265
2013-10-16,268
2013-12-29,290
2014-05-10,290
2014-12-28,292
2015-12-19,304
2016-04-26,305
2017-12-30,325
